epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1.5845,1.01378,1.44128,0.60495,0.0033,0.48294,0.93393,0.90175,0.91711,0.72887,0.96673,0.93333,0.96793,0.73179,0.79836,0.66944,0.5056,0.00379,0,0.000637681,0.000637681,0.000637681
2,3.54559,0.78598,0.94794,0.55906,0.00198,0.29381,0.93651,0.91579,0.91933,0.72134,0.96881,0.94737,0.97577,0.7346,0.80802,0.61916,0.4882,0.00371,0,0.0013022,0.0013022,0.0013022
3,5.21259,1.21219,1.13612,0.55588,0.00336,0.28281,0.9279,0.94834,0.94069,0.69019,0.95446,0.95597,0.97512,0.67875,0.99441,0.73029,0.45944,0.00461,0,0.00196451,0.00196451,0.00196451
4,7.12524,1.30852,1.61433,0.66602,0.00301,0.50342,0.89059,0.91228,0.91295,0.62329,0.79009,0.80702,0.76105,0.43877,1.0996,1.77256,0.53751,0.00496,0,0.0019901,0.0019901,0.0019901
5,8.99228,1.27391,1.9733,0.74289,0.00481,0.4441,0.8433,0.89123,0.90672,0.61347,0.86642,0.91031,0.91893,0.54028,1.12423,1.21332,0.66196,0.00542,0,0.0019868,0.0019868,0.0019868
6,10.8633,1.26439,1.24337,0.79032,0.00384,0.52849,0.8433,0.89123,0.90672,0.61347,0.86642,0.91031,0.91893,0.54028,1.12423,1.21332,0.66196,0.00542,0,0.0019835,0.0019835,0.0019835
7,12.6122,1.17052,1.1892,0.63714,0.00347,0.24716,0.87548,0.89123,0.90416,0.62587,0.88081,0.90758,0.9221,0.56248,1.05492,0.9562,0.61422,0.0055,0,0.0019802,0.0019802,0.0019802
8,14.4809,1.23883,1.31803,0.76579,0.00359,0.27824,0.89557,0.87258,0.92045,0.67284,0.90429,0.89474,0.92784,0.59151,0.95017,0.91577,0.53752,0.00526,0,0.0019769,0.0019769,0.0019769
9,16.3474,1.01036,1.32187,0.6117,0.00345,0.42727,0.89557,0.87258,0.92045,0.67284,0.90429,0.89474,0.92784,0.59151,0.95017,0.91577,0.53752,0.00526,0,0.0019736,0.0019736,0.0019736
10,18.1059,0.95718,1.07892,0.58516,0.0029,0.14176,0.89103,0.88938,0.91223,0.6636,0.90502,0.90265,0.92517,0.60907,0.97812,1.01152,0.57162,0.00531,0,0.0019703,0.0019703,0.0019703
11,19.8456,1.03148,1.13583,0.59702,0.003,0.08463,0.85134,0.88414,0.90028,0.62981,0.85498,0.89474,0.88285,0.5431,1.03137,1.32122,0.66297,0.00527,0,0.001967,0.001967,0.001967
12,21.6011,1.00394,0.94841,0.54172,0.00289,0.07478,0.8483,0.88421,0.88801,0.61437,0.86166,0.89608,0.89502,0.58433,1.03989,1.13227,0.72447,0.00518,0,0.0019637,0.0019637,0.0019637
13,23.5861,0.9711,0.86062,0.5466,0.00312,0.07816,0.8483,0.88421,0.88801,0.61437,0.86166,0.89608,0.89502,0.58433,1.03989,1.13227,0.72447,0.00518,0,0.0019604,0.0019604,0.0019604
