epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,39.8355,0.93437,0.81121,0.48319,0.00326,0.11895,0.90189,0.90175,0.94785,0.75275,0.9154,0.91228,0.94685,0.63363,0.77512,0.94555,0.43022,0.00371,0,0.0019142,0.0019142,0.0019142
28,41.3723,0.94112,1.00832,0.48115,0.00264,0.10756,0.91719,0.89384,0.94473,0.7556,0.93142,0.90539,0.95213,0.63428,0.77169,0.99146,0.42595,0.00364,0,0.0019109,0.0019109,0.0019109
29,42.7949,0.95638,0.98751,0.49524,0.00266,0.09803,0.90937,0.91579,0.94857,0.75251,0.91901,0.91572,0.93662,0.63396,0.76818,0.99332,0.43158,0.00359,0,0.0019076,0.0019076,0.0019076
30,44.1904,0.89297,0.93125,0.54303,0.003,0.27006,0.89141,0.90526,0.93419,0.72682,0.90554,0.90817,0.93241,0.63246,0.81311,0.97596,0.45486,0.00393,0,0.0019043,0.0019043,0.0019043
31,45.7128,0.88985,0.96108,0.4918,0.00259,0.10369,0.89141,0.90526,0.93419,0.72682,0.90554,0.90817,0.93241,0.63246,0.81311,0.97596,0.45486,0.00393,0,0.001901,0.001901,0.001901
32,47.1673,0.82183,0.80211,0.42156,0.00286,0.07183,0.90324,0.86316,0.92216,0.69242,0.90101,0.92615,0.94838,0.63678,0.89828,0.88933,0.48756,0.00458,0,0.0018977,0.0018977,0.0018977
33,48.5996,0.87623,0.90161,0.47644,0.00249,0.19584,0.89409,0.85614,0.90609,0.65803,0.91157,0.89825,0.94038,0.64353,0.96929,1.14705,0.56853,0.00507,0,0.0018944,0.0018944,0.0018944
34,50.0085,0.83245,0.88448,0.46275,0.00236,0.09158,0.89409,0.85614,0.90609,0.65803,0.91157,0.89825,0.94038,0.64353,0.96929,1.14705,0.56853,0.00507,0,0.0018911,0.0018911,0.0018911
35,51.536,0.78698,0.71479,0.42229,0.00265,0.09696,0.88562,0.86938,0.90051,0.63752,0.91782,0.90133,0.93562,0.64653,1.05596,1.64121,0.64775,0.00546,0,0.0018878,0.0018878,0.0018878
36,53.1248,0.84301,0.84561,0.4683,0.00281,0.12504,0.9014,0.86606,0.89908,0.62117,0.90189,0.90175,0.92961,0.64124,1.10948,1.61435,0.67391,0.00587,0,0.0018845,0.0018845,0.0018845
37,54.7015,0.84538,0.92071,0.41684,0.00237,0.06988,0.87725,0.87018,0.90558,0.63671,0.89792,0.89123,0.92391,0.64522,1.06848,1.65326,0.65404,0.00548,0,0.0018812,0.0018812,0.0018812
38,56.3574,0.81084,0.88679,0.42486,0.00237,0.17453,0.87725,0.87018,0.90558,0.63671,0.89792,0.89123,0.92391,0.64522,1.06848,1.65326,0.65404,0.00548,0,0.0018779,0.0018779,0.0018779
39,57.8943,0.88003,0.80751,0.45714,0.0027,0.10244,0.88462,0.87719,0.91326,0.65913,0.92102,0.90015,0.92791,0.64619,1.02065,1.39871,0.62701,0.00512,0,0.0018746,0.0018746,0.0018746
40,59.3038,0.81082,0.74955,0.41227,0.00251,0.12733,0.94139,0.84561,0.92907,0.68182,0.92441,0.8807,0.93555,0.65093,0.97288,1.44297,0.5623,0.00472,0,0.0018713,0.0018713,0.0018713
41,60.6781,0.85777,0.94984,0.47946,0.00265,0.31126,0.94139,0.84561,0.92907,0.68182,0.92441,0.8807,0.93555,0.65093,0.97288,1.44297,0.5623,0.00472,0,0.001868,0.001868,0.001868
42,62.0918,0.77833,0.81238,0.41478,0.00238,0.08659,0.96379,0.84211,0.938,0.70137,0.89648,0.90175,0.93423,0.66043,0.91589,0.86962,0.4821,0.00443,0,0.0018647,0.0018647,0.0018647
