epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,42.1993,0.76567,0.77904,0.39666,0.00251,0.07923,0.90615,0.90877,0.93096,0.72724,0.90907,0.91208,0.93171,0.57143,0.78957,1.01096,0.40319,0.00366,0,0.0019142,0.0019142,0.0019142
28,43.678,0.76241,0.92869,0.41262,0.0019,0.16985,0.88254,0.89825,0.92758,0.72232,0.91863,0.87149,0.9384,0.57433,0.812,1.0151,0.45341,0.00377,0,0.0019109,0.0019109,0.0019109
29,45.3665,0.77675,0.87446,0.4132,0.00182,0.05638,0.92721,0.88421,0.92345,0.69238,0.93854,0.89474,0.94953,0.58986,0.90325,1.16811,0.5147,0.00422,0,0.0019076,0.0019076,0.0019076
30,47.1026,0.76324,0.83946,0.4171,0.00219,0.08104,0.87366,0.89825,0.89489,0.63454,0.9114,0.93684,0.95287,0.59097,1.04367,1.35912,0.66534,0.00534,0,0.0019043,0.0019043,0.0019043
31,48.5993,0.88071,0.92892,0.43308,0.00233,0.06459,0.87366,0.89825,0.89489,0.63454,0.9114,0.93684,0.95287,0.59097,1.04367,1.35912,0.66534,0.00534,0,0.001901,0.001901,0.001901
32,50.1937,0.77368,0.73996,0.40199,0.00243,0.06399,0.89026,0.8807,0.90589,0.65685,0.93816,0.90497,0.95204,0.59332,1.0291,1.44041,0.58073,0.00573,0,0.0018977,0.0018977,0.0018977
33,51.634,0.85748,0.80927,0.43565,0.00234,0.08271,0.9078,0.8982,0.92745,0.7004,0.93168,0.91228,0.95309,0.60394,0.92751,1.2631,0.51777,0.00486,0,0.0018944,0.0018944,0.0018944
34,53.1205,0.75749,0.82519,0.44773,0.00202,0.10733,0.9078,0.8982,0.92745,0.7004,0.93168,0.91228,0.95309,0.60394,0.92751,1.2631,0.51777,0.00486,0,0.0018911,0.0018911,0.0018911
35,54.6566,0.6747,0.67661,0.32497,0.00205,0.06185,0.93096,0.88772,0.9288,0.71573,0.93161,0.92281,0.95311,0.60725,0.87196,0.92935,0.4635,0.00411,0,0.0018878,0.0018878,0.0018878
36,56.0465,0.71995,0.80377,0.41041,0.00207,0.10552,0.93158,0.90776,0.93133,0.69335,0.95131,0.92982,0.9567,0.59154,0.95898,1.02684,0.52339,0.0044,0,0.0018845,0.0018845,0.0018845
37,57.6537,0.72548,0.83548,0.39338,0.00177,0.05832,0.94416,0.88996,0.92667,0.70236,0.9629,0.9108,0.95077,0.59022,0.88476,1.0595,0.46871,0.00401,0,0.0018812,0.0018812,0.0018812
