epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.99895,1.23832,1.97005,0.90158,0.00451,0.3857,0.95633,0.9221,0.93803,0.71217,0.96082,0.93684,0.96368,0.68182,0.93906,0.71666,0.49872,0.00423,0,0.000622222,0.000622222,0.000622222
2,9.09923,1.20149,1.41926,0.51526,0.00379,0.10113,0.9261,0.92334,0.92431,0.68569,0.9261,0.92334,0.93992,0.53216,0.97597,1.1888,0.44593,0.00459,0,0.00128676,0.00128676,0.00128676
3,10.9253,1.08655,2.43868,0.56251,0.00311,0.18904,0.9261,0.92334,0.92431,0.68569,0.9261,0.92334,0.93992,0.53216,0.97597,1.1888,0.44593,0.00459,0,0.0019491,0.0019491,0.0019491
4,12.924,1.34264,1.87932,0.67343,0.00402,0.2003,0.89267,0.88772,0.91189,0.66459,0.92869,0.91399,0.95473,0.64796,1.0256,1.06124,0.52124,0.00496,0,0.0019901,0.0019901,0.0019901
5,14.6731,1.35071,1.31216,0.62388,0.0047,0.23011,0.88639,0.90877,0.92124,0.6522,0.91415,0.93684,0.95464,0.66129,1.04381,0.96672,0.49702,0.0053,0,0.0019868,0.0019868,0.0019868
6,16.4223,1.33721,1.39441,0.61136,0.0046,0.30502,0.88639,0.90877,0.92124,0.6522,0.91415,0.93684,0.95464,0.66129,1.04381,0.96672,0.49702,0.0053,0,0.0019835,0.0019835,0.0019835
7,18.1734,1.17301,1.12635,0.6411,0.00384,0.2949,0.91653,0.84756,0.90704,0.62055,0.95047,0.88772,0.94574,0.57347,1.13298,0.90854,0.51937,0.00607,0,0.0019802,0.0019802,0.0019802
8,20.0922,1.07267,1.17819,0.54987,0.00333,0.19633,0.93141,0.85766,0.92033,0.65209,0.95842,0.8897,0.95106,0.59627,1.02443,0.97836,0.5224,0.00533,0,0.0019769,0.0019769,0.0019769
9,22.1287,0.96167,0.96321,0.53294,0.00306,0.08436,0.87868,0.86401,0.89981,0.60194,0.91082,0.89586,0.93337,0.57891,1.1039,1.00266,0.68933,0.00561,0,0.0019736,0.0019736,0.0019736
10,23.8297,1.03136,1.03628,0.59726,0.0038,0.50392,0.87868,0.86401,0.89981,0.60194,0.91082,0.89586,0.93337,0.57891,1.1039,1.00266,0.68933,0.00561,0,0.0019703,0.0019703,0.0019703
11,25.6751,1.08634,1.04509,0.59321,0.00324,0.11343,0.90086,0.829,0.89723,0.60058,0.9089,0.83158,0.89029,0.55025,1.12528,1.15922,0.69971,0.00544,0,0.001967,0.001967,0.001967
12,27.5394,0.98503,0.94749,0.48832,0.00329,0.25751,0.89174,0.87018,0.89914,0.65713,0.90438,0.84561,0.85726,0.51249,0.94816,1.24329,0.61716,0.00439,0,0.0019637,0.0019637,0.0019637
13,29.4442,0.9809,1.03128,0.53935,0.00261,0.3613,0.89174,0.87018,0.89914,0.65713,0.90438,0.84561,0.85726,0.51249,0.94816,1.24329,0.61716,0.00439,0,0.0019604,0.0019604,0.0019604
14,31.2202,1.06218,0.94805,0.52072,0.00315,0.09661,0.89319,0.84561,0.87773,0.65099,0.88668,0.8386,0.85057,0.47138,0.93347,1.49434,0.60274,0.00479,0,0.0019571,0.0019571,0.0019571
15,32.9691,1.00368,1.03051,0.56468,0.00329,0.09439,0.87243,0.86387,0.87434,0.6307,0.91364,0.77952,0.84256,0.45013,0.97583,1.35338,0.54267,0.0048,0,0.0019538,0.0019538,0.0019538
16,34.8645,0.93785,0.87185,0.5136,0.00306,0.10005,0.88726,0.85603,0.87585,0.61047,0.82648,0.8386,0.82664,0.45212,1.05649,1.7392,0.70524,0.00479,0,0.0019505,0.0019505,0.0019505
17,36.7727,0.9623,1.05711,0.58904,0.00237,0.08367,0.88726,0.85603,0.87585,0.61047,0.82648,0.8386,0.82664,0.45212,1.05649,1.7392,0.70524,0.00479,0,0.0019472,0.0019472,0.0019472
18,38.6223,0.89366,0.8718,0.46948,0.00245,0.09865,0.88745,0.85763,0.88536,0.62505,0.84714,0.82456,0.83093,0.46433,1.0615,1.65186,0.72679,0.00504,0,0.0019439,0.0019439,0.0019439
19,40.3215,0.8566,0.95755,0.52484,0.00235,0.14532,0.90715,0.85706,0.88842,0.63333,0.86726,0.8,0.81957,0.48678,1.08906,1.69669,0.67491,0.00545,0,0.0019406,0.0019406,0.0019406
20,42.1468,0.84994,0.97009,0.4529,0.00248,0.08347,0.90715,0.85706,0.88842,0.63333,0.86726,0.8,0.81957,0.48678,1.08906,1.69669,0.67491,0.00545,0,0.0019373,0.0019373,0.0019373
21,43.9202,0.78122,0.78547,0.43493,0.00254,0.07538,0.93139,0.85741,0.8983,0.6729,0.90864,0.83755,0.86135,0.5194,0.96747,1.17145,0.5305,0.00481,0,0.001934,0.001934,0.001934
22,45.8411,0.80479,0.94712,0.45683,0.00216,0.0771,0.91207,0.87352,0.91146,0.67835,0.87893,0.84211,0.85752,0.53186,0.96427,1.39131,0.52915,0.00471,0,0.0019307,0.0019307,0.0019307
