epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,51.4213,0.7984,0.95204,0.47729,0.0021,0.27949,0.92118,0.88421,0.91536,0.71181,0.94017,0.94386,0.96982,0.69108,0.79838,1.09706,0.48782,0.00374,0,0.00095545,0.00095545,0.00095545
29,52.7102,0.78936,0.99619,0.47882,0.00184,0.14057,0.92364,0.88421,0.91518,0.71192,0.9354,0.94035,0.96225,0.69701,0.80258,1.2751,0.50701,0.00366,0,0.0009538,0.0009538,0.0009538
30,53.9722,0.80281,0.95193,0.47819,0.00249,0.26508,0.91349,0.88921,0.91616,0.70784,0.93352,0.94737,0.97051,0.69872,0.81856,1.03899,0.47609,0.00371,0,0.00095215,0.00095215,0.00095215
31,55.2755,0.85977,1.1137,0.48218,0.00209,0.15105,0.91349,0.88921,0.91616,0.70784,0.93352,0.94737,0.97051,0.69872,0.81856,1.03899,0.47609,0.00371,0,0.0009505,0.0009505,0.0009505
32,56.6806,0.74961,0.88792,0.45388,0.00221,0.39007,0.91737,0.89602,0.9247,0.70581,0.95356,0.93663,0.97116,0.70538,0.84658,1.25107,0.48973,0.00373,0,0.00094885,0.00094885,0.00094885
33,57.9712,0.76205,0.83508,0.45874,0.00229,0.24741,0.90746,0.89123,0.91692,0.69186,0.95007,0.93333,0.97181,0.70544,0.88346,1.32367,0.53517,0.00384,0,0.0009472,0.0009472,0.0009472
34,59.389,0.73619,0.91817,0.37862,0.0022,0.16277,0.90139,0.89474,0.91476,0.68305,0.94055,0.94364,0.97142,0.70701,0.91074,1.29366,0.51931,0.00392,0,0.00094555,0.00094555,0.00094555
35,60.6217,0.71045,0.79068,0.40168,0.00205,0.17055,0.90139,0.89474,0.91476,0.68305,0.94055,0.94364,0.97142,0.70701,0.91074,1.29366,0.51931,0.00392,0,0.0009439,0.0009439,0.0009439
36,61.9888,0.70337,0.72669,0.4158,0.00186,0.1355,0.8999,0.88772,0.90937,0.67301,0.94983,0.93684,0.9714,0.70777,0.92513,1.31508,0.57114,0.00407,0,0.00094225,0.00094225,0.00094225
37,63.2165,0.65622,0.65994,0.38896,0.00203,0.23746,0.89427,0.89032,0.90741,0.67032,0.94086,0.93333,0.97091,0.70538,0.92917,1.1311,0.53709,0.0041,0,0.0009406,0.0009406,0.0009406
38,64.592,0.71101,0.89401,0.40873,0.00175,0.22691,0.88662,0.88772,0.89916,0.66655,0.93679,0.93601,0.97053,0.70267,0.93953,1.15567,0.56323,0.00418,0,0.00093895,0.00093895,0.00093895
39,65.8303,0.75755,0.82215,0.41557,0.002,0.18827,0.88662,0.88772,0.89916,0.66655,0.93679,0.93601,0.97053,0.70267,0.93953,1.15567,0.56323,0.00418,0,0.0009373,0.0009373,0.0009373
40,67.5648,0.82981,0.87066,0.44919,0.00244,0.31522,0.89284,0.87368,0.90037,0.67019,0.92622,0.93684,0.96653,0.70224,0.92191,1.12055,0.5537,0.00411,0,0.00093565,0.00093565,0.00093565
41,69.1768,0.79036,0.73139,0.41342,0.00224,0.2022,0.91781,0.84561,0.9007,0.67015,0.93325,0.93684,0.96114,0.70225,0.91089,1.11432,0.55941,0.00416,0,0.000934,0.000934,0.000934
42,70.6611,0.7954,0.95072,0.44317,0.0019,0.23711,0.90871,0.86667,0.90474,0.68058,0.93366,0.93821,0.96268,0.7051,0.88328,1.18557,0.54288,0.00406,0,0.00093235,0.00093235,0.00093235
43,72.0575,0.83793,1.08446,0.49117,0.00227,0.19842,0.90871,0.86667,0.90474,0.68058,0.93366,0.93821,0.96268,0.7051,0.88328,1.18557,0.54288,0.00406,0,0.0009307,0.0009307,0.0009307
44,73.3765,0.76945,0.83814,0.42463,0.00214,0.08097,0.92498,0.86521,0.9113,0.68407,0.93662,0.93333,0.96377,0.70606,0.86739,1.15235,0.53824,0.00407,0,0.00092905,0.00092905,0.00092905
45,74.7273,0.71011,0.72332,0.38548,0.00184,0.13734,0.92982,0.87368,0.92096,0.69367,0.96658,0.91323,0.96523,0.70399,0.85647,1.09049,0.49268,0.00397,0,0.0009274,0.0009274,0.0009274
46,76.1593,0.80265,0.79219,0.40125,0.00287,0.25713,0.91286,0.8822,0.91008,0.68643,0.95352,0.93568,0.96539,0.69738,0.86125,1.13653,0.52263,0.00402,0,0.00092575,0.00092575,0.00092575
47,77.8628,0.8194,1.00187,0.41815,0.00187,0.12069,0.91286,0.8822,0.91008,0.68643,0.95352,0.93568,0.96539,0.69738,0.86125,1.13653,0.52263,0.00402,0,0.0009241,0.0009241,0.0009241
48,79.4158,0.83183,0.99522,0.4347,0.00198,0.09964,0.90567,0.87589,0.907,0.67473,0.94957,0.9249,0.96452,0.69187,0.87326,1.14518,0.53206,0.00412,0,0.00092245,0.00092245,0.00092245
49,81.0804,0.81763,0.86532,0.42814,0.00216,0.35145,0.91314,0.87368,0.90483,0.66831,0.96153,0.9193,0.9636,0.68684,0.87981,1.31607,0.53338,0.00424,0,0.0009208,0.0009208,0.0009208
50,82.5577,0.71986,0.72593,0.4063,0.00197,0.23907,0.91931,0.8807,0.89935,0.66897,0.9633,0.92104,0.96376,0.68746,0.88229,1.27726,0.5474,0.0041,0,0.00091915,0.00091915,0.00091915
51,84.1461,0.79088,0.89308,0.45098,0.00181,0.14378,0.91931,0.8807,0.89935,0.66897,0.9633,0.92104,0.96376,0.68746,0.88229,1.27726,0.5474,0.0041,0,0.0009175,0.0009175,0.0009175
