epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.45636,1.01119,1.29699,0.55008,0.00298,0.30793,0.94206,0.9128,0.93669,0.77572,0.96676,0.91847,0.96989,0.71758,0.68844,0.64984,0.4443,0.00331,0,0.000637681,0.000637681,0.000637681
2,10.6156,0.88428,1.36833,0.54607,0.0026,0.2839,0.91178,0.92632,0.92934,0.75665,0.93147,0.9539,0.96397,0.68679,0.69206,0.69277,0.46727,0.00354,0,0.0013022,0.0013022,0.0013022
3,12.4506,0.92392,1.24933,0.47106,0.0029,0.1248,0.92491,0.90877,0.92058,0.67808,0.93569,0.9193,0.94032,0.59808,0.97589,0.87867,0.54562,0.00474,0,0.00196451,0.00196451,0.00196451
4,14.4294,1.09233,1.72081,0.65081,0.00273,0.25873,0.91658,0.89825,0.93796,0.69088,0.91658,0.89825,0.9335,0.60418,0.96793,1.00575,0.5017,0.00463,0,0.0019901,0.0019901,0.0019901
5,16.3241,1.05626,1.44998,0.64151,0.00307,0.37463,0.94826,0.88772,0.94741,0.70097,0.90985,0.88537,0.90645,0.59626,0.96536,1.04488,0.48614,0.00465,0,0.0019868,0.0019868,0.0019868
6,17.9595,0.96663,1.30802,0.56338,0.00276,0.22805,0.94826,0.88772,0.94741,0.70097,0.90985,0.88537,0.90645,0.59626,0.96536,1.04488,0.48614,0.00465,0,0.0019835,0.0019835,0.0019835
7,19.8788,0.95252,1.10377,0.53957,0.00268,0.18499,0.93236,0.88421,0.93902,0.63832,0.94175,0.9076,0.95754,0.702,1.10052,0.70794,0.56957,0.00517,0,0.0019802,0.0019802,0.0019802
8,21.7924,1.08752,1.44212,0.59253,0.00288,0.22747,0.94412,0.85614,0.93207,0.66271,0.94805,0.89645,0.95809,0.66428,1.0566,0.84734,0.53695,0.00515,0,0.0019769,0.0019769,0.0019769
9,23.5764,0.94234,1.26465,0.54762,0.00338,0.39658,0.94412,0.85614,0.93207,0.66271,0.94805,0.89645,0.95809,0.66428,1.0566,0.84734,0.53695,0.00515,0,0.0019736,0.0019736,0.0019736
10,25.3937,0.90682,1.03436,0.47696,0.00287,0.08904,0.89138,0.89474,0.92526,0.66308,0.92468,0.90877,0.94857,0.65125,1.04386,1.13392,0.56031,0.00528,0,0.0019703,0.0019703,0.0019703
11,27.2857,0.96109,1.06309,0.50741,0.00315,0.23587,0.91579,0.86667,0.90474,0.65955,0.94132,0.87719,0.94518,0.64844,0.96907,1.05351,0.54897,0.00478,0,0.001967,0.001967,0.001967
12,29.2069,0.85698,0.85574,0.46526,0.00265,0.13018,0.90673,0.86667,0.91746,0.64954,0.90065,0.92245,0.94664,0.65529,1.05149,1.08957,0.56949,0.00551,0,0.0019637,0.0019637,0.0019637
13,31.2494,0.87178,0.78072,0.43304,0.00292,0.06457,0.90673,0.86667,0.91746,0.64954,0.90065,0.92245,0.94664,0.65529,1.05149,1.08957,0.56949,0.00551,0,0.0019604,0.0019604,0.0019604
14,33.0892,0.90592,0.92712,0.50731,0.00278,0.15955,0.87307,0.90175,0.92966,0.65364,0.92734,0.90877,0.94702,0.61408,1.05435,1.13322,0.54706,0.00568,0,0.0019571,0.0019571,0.0019571
15,34.8289,0.85506,0.84091,0.42289,0.00302,0.19107,0.90328,0.85196,0.92329,0.66897,0.91225,0.91579,0.94533,0.6051,0.9529,1.16219,0.54869,0.00466,0,0.0019538,0.0019538,0.0019538
