epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,150.678,0.99781,1.84067,0.84026,0.0047,0.09281,0.70071,0.85138,0.84367,0.65411,0.61293,0.70912,0.6902,0.33667,0.92,1.33464,0.74657,0.00517,0,0.0019109,0.0019109,0.0019109
29,155.789,0.98595,1.79436,0.83475,0.00464,0.06617,0.75017,0.80135,0.83838,0.64661,0.54167,0.67003,0.57824,0.27443,0.94081,1.39339,0.78097,0.00524,0,0.0019076,0.0019076,0.0019076
30,160.665,1.00982,1.82907,0.83317,0.00497,0.07569,0.72527,0.78222,0.81832,0.61,0.6254,0.69705,0.61459,0.25697,0.94897,1.45217,0.86303,0.00523,0,0.0019043,0.0019043,0.0019043
31,165.745,1.00448,1.81535,0.84423,0.00471,0.09316,0.78855,0.77848,0.86187,0.66832,0.55085,0.65657,0.59666,0.28784,0.89763,1.4089,0.74408,0.00524,0,0.001901,0.001901,0.001901
32,170.556,0.9965,1.80789,0.8156,0.00449,0.10283,0.75523,0.81033,0.85626,0.65139,0.61002,0.68687,0.6642,0.28649,0.927,1.42109,0.83153,0.00516,0,0.0018977,0.0018977,0.0018977
33,175.459,1.00475,1.81471,0.83647,0.00475,0.08878,0.73874,0.79974,0.86227,0.66549,0.5922,0.58675,0.59744,0.28675,0.9432,1.45089,0.77244,0.00539,0,0.0018944,0.0018944,0.0018944
34,180.583,1.01951,1.79167,0.81093,0.00479,0.09899,0.78152,0.80696,0.86671,0.67123,0.59951,0.7157,0.67407,0.30044,0.90343,1.42112,0.78464,0.00499,0,0.0018911,0.0018911,0.0018911
35,185.497,1.00808,1.75489,0.82662,0.00483,0.07793,0.73887,0.83502,0.84772,0.66772,0.62306,0.7037,0.69875,0.33023,0.86422,1.41776,0.77351,0.00477,0,0.0018878,0.0018878,0.0018878
36,190.447,0.98628,1.73667,0.81743,0.00483,0.08406,0.7225,0.77778,0.83225,0.62525,0.59034,0.67003,0.61528,0.30417,0.95671,1.40107,0.80263,0.00535,0,0.0018845,0.0018845,0.0018845
37,195.109,0.9825,1.72787,0.8078,0.00478,0.08418,0.82655,0.77778,0.88875,0.68441,0.64313,0.633,0.64646,0.30355,0.91344,1.33772,0.72594,0.00522,0,0.0018812,0.0018812,0.0018812
38,199.999,0.98656,1.68796,0.81139,0.00471,0.07676,0.75266,0.84015,0.86414,0.65712,0.65693,0.74788,0.7215,0.34244,0.92548,1.35518,0.72139,0.00565,0,0.0018779,0.0018779,0.0018779
39,205.003,0.99385,1.68153,0.78932,0.00483,0.06564,0.77027,0.81145,0.87153,0.68689,0.61424,0.72727,0.72477,0.35068,0.88947,1.28493,0.7026,0.00505,0,0.0018746,0.0018746,0.0018746
40,210.168,0.95585,1.67866,0.78337,0.00451,0.06163,0.774,0.81818,0.87576,0.69269,0.67725,0.77104,0.79243,0.40937,0.83687,1.248,0.71121,0.00443,0,0.0018713,0.0018713,0.0018713
41,215.212,0.96608,1.62893,0.78807,0.00465,0.0551,0.7831,0.80232,0.87155,0.67675,0.71887,0.72727,0.76564,0.37696,0.87521,1.26297,0.74496,0.00485,0,0.001868,0.001868,0.001868
42,220.203,0.96866,1.6908,0.76776,0.00461,0.07645,0.8209,0.78708,0.88851,0.71167,0.72241,0.68687,0.74275,0.36225,0.81396,1.22886,0.68563,0.0044,0,0.0018647,0.0018647,0.0018647
43,224.871,0.94829,1.63709,0.75759,0.0044,0.07471,0.78551,0.80471,0.85543,0.66801,0.70369,0.72727,0.75999,0.37434,0.88967,1.28788,0.75325,0.00487,0,0.0018614,0.0018614,0.0018614
44,229.689,0.9534,1.62009,0.77597,0.00443,0.07818,0.81978,0.80808,0.88786,0.69767,0.69454,0.76094,0.79276,0.3849,0.85748,1.18136,0.69602,0.00453,0,0.0018581,0.0018581,0.0018581
45,234.673,0.96613,1.61353,0.77187,0.00446,0.06189,0.75784,0.84298,0.87937,0.68129,0.72349,0.79289,0.81055,0.39384,0.90977,1.16725,0.75104,0.00494,0,0.0018548,0.0018548,0.0018548
46,239.699,0.98779,1.61568,0.77316,0.00466,0.08549,0.78439,0.8452,0.9003,0.69838,0.71202,0.76588,0.79447,0.40263,0.86706,1.18201,0.69566,0.00478,0,0.0018515,0.0018515,0.0018515
47,244.652,0.95317,1.56634,0.76236,0.00461,0.04621,0.80784,0.82492,0.89194,0.7103,0.68465,0.71638,0.75447,0.37083,0.84733,1.15721,0.63075,0.00464,0,0.0018482,0.0018482,0.0018482
48,249.552,0.93785,1.60521,0.74113,0.00422,0.05075,0.74884,0.85329,0.8604,0.66944,0.66969,0.77104,0.74685,0.37509,0.89742,1.28072,0.77092,0.00486,0,0.0018449,0.0018449,0.0018449
49,254.248,0.94951,1.66227,0.75485,0.00445,0.07253,0.82413,0.81481,0.88801,0.69225,0.66036,0.75084,0.7395,0.39126,0.91549,1.17802,0.69623,0.00491,0,0.0018416,0.0018416,0.0018416
50,259.158,0.9866,1.59999,0.77445,0.00477,0.07366,0.80895,0.73737,0.84106,0.64719,0.69923,0.73064,0.76292,0.39062,0.94043,1.35347,0.81471,0.00488,0,0.0018383,0.0018383,0.0018383
51,263.968,0.95998,1.55563,0.76019,0.00457,0.08765,0.80298,0.77441,0.86259,0.67445,0.71168,0.75758,0.77116,0.39794,0.89929,1.20573,0.7405,0.00475,0,0.001835,0.001835,0.001835
52,268.862,0.96344,1.55313,0.77635,0.00451,0.05948,0.78921,0.84175,0.88867,0.69965,0.7061,0.82492,0.80506,0.4069,0.82488,1.12494,0.63988,0.00463,0,0.0018317,0.0018317,0.0018317
53,274.413,0.97648,1.50436,0.76838,0.00462,0.05623,0.76029,0.79125,0.84895,0.66497,0.66211,0.74074,0.75161,0.3878,0.90661,1.20976,0.73072,0.00487,0,0.0018284,0.0018284,0.0018284
54,279.358,0.95168,1.59299,0.77086,0.00427,0.06808,0.79384,0.82828,0.87388,0.67713,0.6974,0.75084,0.76196,0.39807,0.92939,1.17977,0.68887,0.00494,0,0.0018251,0.0018251,0.0018251
